,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_10,0.989610041291083,0.9908426831141541,0.9858652836567646,0.965377564121718,0.9418101966332256,0.7689472898218497,0.7200053425522538,0.6444918615812165,0.5139703860691002,0.3889913549928954,0.0,0.24902823838320645,0.42761862651428956,0.5741330079374306,0.7456567024325466,0.8582270697039918,0.9770973324287533,1.3451473132007734,1.4485489231557949,1.8141679522641656,2.0136166253507772,2.331687726123132,2.456697260718381,2.6990373273251196,3.275152755506111,3.640706411646,3.877122825135177,4.466694016421457,4.737195181124138,5.289649415855814,6.088020583237906,3.895677561646695
Layer_11,0.9899028980468356,0.9900810254781974,0.9846526921820582,0.9659182585525669,0.9437425857094055,0.7712810028780688,0.7300561469759148,0.6680066224788662,0.5635244102628382,0.4613565317096523,0.22205039042366226,0.0,0.2616321580098556,0.41276868147795365,0.5713434491510961,0.6928253070825832,0.806723195006865,1.1554514823830782,1.2634646554739137,1.5920971151651855,1.7805346101156323,2.07046597527247,2.1901662337008703,2.4155791433593663,2.937871888267711,3.270879888417387,3.4896422113970007,4.030604764343186,4.2857650667795095,4.789287453103905,5.526518321837879,3.560434951243295
Layer_12,0.9908677401062311,0.9907242882261503,0.9856557250022888,0.967415519174643,0.947455650611943,0.7871023070411932,0.7519945514485252,0.7010090933970796,0.6103174611498936,0.5263533189001872,0.3302044276572172,0.23044891932477335,0.0,0.2568624040491751,0.41155685104862966,0.539403333881661,0.6502075360555516,0.9732837139535009,1.0817810651418325,1.3739891535526998,1.5491454214663118,1.8114626706378758,1.9250976750344941,2.13346909324621,2.600290756553631,2.901293059629461,3.1020061395677945,3.5930274083514764,3.833911688380511,4.288573507204298,4.963734411197446,3.2271878568975776
Layer_13,0.992291845765688,0.9923298331091972,0.9879359467707141,0.9709069434001151,0.9539076501868183,0.8075027147538344,0.7766705100698417,0.7333784263999027,0.6554546482635267,0.5792490091849115,0.4215934254613497,0.3422496837733907,0.23791456934031066,0.0,0.25583959071241763,0.3976782517390208,0.5045947839645555,0.8358077801806726,0.9365057860799347,1.2004734701938458,1.3655125139972208,1.6071522562939256,1.715783606387864,1.9125855184792495,2.3372113616812142,2.614616377640708,2.8011353775480554,3.2562656664243006,3.4800917067359842,3.8998803965484967,4.515249697914093,2.957211290003334
Layer_14,0.9931852411384177,0.9927876303666542,0.9887729728446448,0.9727700467386956,0.9579432570084893,0.8192933847628882,0.7940198160116053,0.7595881617625749,0.6946992494843223,0.6296089682102594,0.49266539571423884,0.42251101748851555,0.33766881256294873,0.22627327313538362,0.0,0.2613608489922087,0.36694049642380877,0.6766835216319922,0.7758465822752532,0.9898393133153298,1.1410709158208505,1.3484125987708226,1.4522388017538823,1.632976218874976,1.998580990610896,2.2428638217490193,2.4137781071526216,2.8188793637731053,3.0260344057372124,3.400632788371493,3.951159952118395,2.629872635287598
Layer_15,0.9940007345584647,0.9936441967567394,0.9900782332373486,0.9733953436410984,0.9602977301037575,0.8291673721298637,0.8058681725772261,0.7747778696763916,0.7142732705765333,0.6575541516291519,0.5331205478903702,0.4793476016915889,0.41403176123543317,0.3297412218518378,0.24505868133075115,0.0,0.23469027863429473,0.5525831483749949,0.6458407788614481,0.8555604856488745,1.0020528590942777,1.1992309573339108,1.2996065023978356,1.4719197402519832,1.8133521365104006,2.043250798983812,2.2037293851424398,2.5829433597178855,2.7815507555671837,3.1273048398535725,3.640286125968852,2.445752118475412
Layer_16,0.9945768369796528,0.9942964904138438,0.990906429817987,0.9745530341610764,0.9626038118916198,0.8383360261022801,0.8166995967244829,0.78748057359169,0.7318811804227024,0.6805902420254051,0.570381299234823,0.5236032857795312,0.46784427771794806,0.39180458690376185,0.32159856645227164,0.2193956203654982,0.0,0.4668450753870409,0.5541021706479968,0.7637747868370756,0.9031131751804836,1.0892205755794566,1.1835408311804039,1.3428501444308119,1.6655015873186516,1.8817685334825007,2.03230856989955,2.3919049083551944,2.579181857620664,2.9069125871010044,3.3864909518848765,2.289651566504651
Layer_17,0.9956752689132722,0.9948765043837432,0.9922837920114703,0.9742829099627033,0.9644559442655265,0.8790872262014315,0.863801468795289,0.8454346598219813,0.8019863163516914,0.764261151902701,0.6554631197384202,0.6181697565985936,0.5718753184577073,0.5245413284239273,0.46831736615405134,0.4030875311973737,0.35402449823909854,0.0,0.23114729265664857,0.4173768893018499,0.541118657950199,0.7038936203957386,0.7875021419790706,0.9353450141804419,1.2016879714091815,1.3889542404107633,1.5247269453912558,1.8356991005568695,2.054187878246292,2.3386854146173213,2.793137957872083,1.9791994184670538
Layer_18,0.9961597799864291,0.995492275184925,0.9931401769027273,0.9753572542485792,0.9667756326075561,0.8855762633508,0.8706217608815037,0.8529859074405917,0.8104092818513257,0.7756541086258603,0.6769295738038228,0.64676902877025,0.6108553664153175,0.5661996476333909,0.5196636113155875,0.45704109106368457,0.41074313788410094,0.22115932627108914,0.0,0.3352238770443138,0.45746545629067853,0.623193746336555,0.6989987550652681,0.8379644061286952,1.10147953023684,1.2844713631465141,1.4153269074375174,1.717147343477004,1.928432518980915,2.200421432898144,2.6361819860097526,1.8832333345670957
Layer_19,0.997132885368216,0.9966464998485806,0.9948399745959127,0.97784142729496,0.9711445439652671,0.8965795875376702,0.8850305709167156,0.8724022057093528,0.8381546352067802,0.8093339435200921,0.7237565683400797,0.695700344250497,0.6623402555685958,0.622107751173235,0.5720932535418324,0.5261197617120376,0.4967024083951767,0.33584612158846405,0.2823620928446842,0.0,0.24084519888415482,0.3740162611691118,0.4609293769267033,0.5959556119106131,0.7926228530186302,0.9472268724617267,1.0663458146490492,1.318761100054373,1.5223926653342594,1.7612315010184836,2.1391961677068574,1.6144658586805127
Layer_20,0.9974669710619346,0.9970929722723465,0.9955533965018614,0.9787685769098299,0.9730840978028831,0.901366693528337,0.8907176918128199,0.8794410255578187,0.848136830876637,0.8222289365105313,0.7417405638218316,0.7175480745836519,0.6885086176924584,0.6532599026311332,0.6100306724740481,0.5714028659997467,0.5456206094623101,0.4002290061025908,0.3544512694727486,0.221290457258451,0.0,0.2533840673146533,0.3445248455663473,0.47957249072416214,0.6683150116387788,0.815369399378868,0.9256362633857446,1.165212384312979,1.3599355531266046,1.583604983186058,1.942266296012591,1.493866543414454
Layer_21,0.9978961031716149,0.9975322694391817,0.996205566458581,0.9797546996824279,0.9749005393450813,0.9082238823541552,0.8994215700003478,0.8905530759880135,0.8639059971337627,0.8410788271194789,0.7674801386740244,0.7453129050870297,0.7189259699482492,0.687324046112298,0.6459662663848745,0.6136984550054693,0.5916636064587608,0.46389920752034824,0.430253127527276,0.3059115205921178,0.22524478460412647,0.0,0.20949168897475695,0.35902619835395094,0.5016060289938268,0.6352450137105171,0.7424629844182051,0.9568187856068873,1.1502994885706297,1.3557213585851233,1.6808632924652411,1.362731943259368
