Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
24,0.011709392,0.9147842,0.8829086,0.9046346,0.93568003,0.94002885,0.9614801,0.9710646,0.9773048,0.983342,0.9858214,0.98826647,0.98894936,0.9895694,0.98985296,0.9901306,0.9904246,0.9908864,0.991584,0.99211305,0.9927404,0.9937275,0.99529845,0.9970945,1.0,0.99767476,0.99505275,0.9919559,0.9887353,0.9876902,0.98539793,0.98133475,0.9759931,0.9765349,0.050852686
25,0.011055135,0.91245455,0.8805635,0.9022255,0.93342644,0.9379264,0.9594894,0.96902025,0.9752895,0.9813412,0.98386997,0.98629737,0.9869569,0.98756105,0.9878917,0.9881092,0.98838145,0.98879963,0.98949766,0.99005806,0.9906383,0.9915671,0.9931926,0.994764,0.99767476,0.99999976,0.99679184,0.99411535,0.9909604,0.9898076,0.9873443,0.98333454,0.97815263,0.9778981,0.05975471
26,0.010306915,0.9111325,0.8792981,0.9009275,0.9321566,0.9367915,0.9582306,0.9676148,0.9737278,0.9797247,0.9821298,0.9845489,0.985196,0.98578614,0.98602843,0.9861845,0.9864799,0.98687786,0.9874351,0.9879514,0.9884611,0.98944163,0.9909987,0.9923548,0.99505275,0.99679184,0.9999998,0.99662614,0.9933465,0.9917098,0.9890783,0.9848962,0.97992915,0.9796689,0.07113978
27,0.009413309,0.90736365,0.8756325,0.89713603,0.9281546,0.93263,0.95408726,0.96334743,0.9694414,0.97539586,0.9778679,0.980378,0.98093873,0.98168695,0.98186725,0.98206675,0.9823919,0.9828033,0.9834551,0.9840625,0.98438704,0.98544806,0.9873126,0.9883827,0.9919559,0.99411535,0.99662614,1.0,0.99583364,0.99390644,0.99134433,0.98734444,0.9822568,0.980865,0.08720283
28,0.012558507,0.90490013,0.87337905,0.8948722,0.92558044,0.93004483,0.9514966,0.96082747,0.96677536,0.97269416,0.9751788,0.9776369,0.97826266,0.97887486,0.9790025,0.9792926,0.9795838,0.9800746,0.98070204,0.98126256,0.9815388,0.98244345,0.9841214,0.9854006,0.9887353,0.9909604,0.9933465,0.99583364,0.99999994,0.99678767,0.9943068,0.99031746,0.98533094,0.9838123,0.100969836
29,0.011388361,0.90573657,0.8743184,0.8957817,0.92632276,0.93068886,0.9520113,0.96132594,0.9672778,0.973221,0.975744,0.97818923,0.97874254,0.9794824,0.97958565,0.9798179,0.9801213,0.98045784,0.9809942,0.9814592,0.9816248,0.9823419,0.9839659,0.9849711,0.9876902,0.9898076,0.9917098,0.99390644,0.99678767,1.0,0.9971704,0.9935266,0.9888857,0.9869597,0.10714473
30,0.014121357,0.90349054,0.87199193,0.89340955,0.92405355,0.9283858,0.94975173,0.9590318,0.9649629,0.9709901,0.97346795,0.9759576,0.9765196,0.9773255,0.9773397,0.9776552,0.97784954,0.9781542,0.9787196,0.97918344,0.9793789,0.9802074,0.9817744,0.9827252,0.98539793,0.9873443,0.9890783,0.99134433,0.9943068,0.9971704,1.0,0.9963294,0.9915347,0.9888317,0.11743802
31,0.012881481,0.9017017,0.8703574,0.8915422,0.9218111,0.9256654,0.9467189,0.955976,0.9617736,0.96773773,0.9702557,0.9726648,0.9731078,0.973893,0.97385824,0.97418535,0.97435313,0.97442186,0.9747712,0.97524816,0.9754608,0.97603303,0.9776849,0.97886205,0.98133475,0.98333454,0.9848962,0.98734444,0.99031746,0.9935266,0.9963294,1.0,0.99566656,0.9922508,0.13274308
32,0.016123509,0.89748794,0.8662836,0.88708603,0.91716385,0.9207144,0.9415153,0.95086116,0.9567081,0.962724,0.96523404,0.96770734,0.9680769,0.96895576,0.96892715,0.96912473,0.9694795,0.96950984,0.9698754,0.970408,0.9705871,0.9709723,0.9726895,0.97380155,0.9759931,0.97815263,0.97992915,0.9822568,0.98533094,0.9888857,0.9915347,0.99566656,1.0,0.99593085,0.15534529
33,0.013039041,0.89865977,0.8670307,0.8880898,0.9185685,0.92233896,0.9434038,0.9530617,0.95894116,0.96521425,0.96790403,0.97055435,0.9710082,0.9718345,0.9719637,0.9720618,0.97235453,0.97231793,0.97249323,0.9727645,0.9727783,0.9728992,0.97405475,0.97505367,0.9765349,0.9778981,0.9796689,0.980865,0.9838123,0.9869597,0.9888317,0.9922508,0.99593085,0.9999997,0.16177393
