Model,Task,Layer,Relative_Depth,Accuracy_Drop,M1_MSE_next,M1_MSE_start,M1_MSE_end,M1_MSE_mean,M2_Cosine_next,M2_Cosine_start,M2_Cosine_end,M2_Cosine_mean,M3_Residual_next,M3_Residual_start,M3_Residual_end,M3_Residual_mean,M4_CKA_next,M4_CKA_start,M4_CKA_end,M4_CKA_mean,M5_L1_next,M5_L1_start,M5_L1_end,M5_L1_mean,M6_L_Inf_next,M6_L_Inf_start,M6_L_Inf_end,M6_L_Inf_mean,M7_Var_Ratio_next,M7_Var_Ratio_start,M7_Var_Ratio_end,M7_Var_Ratio_mean,M8_Pearson_next,M8_Pearson_start,M8_Pearson_end,M8_Pearson_mean,M11_SVD_Ent,M12_KL_Noise,M13_LogitLens,M14_Spectral_Norm,M15_Frobenius_Norm,M16_Effective_Rank,M11_SVD_Ent_delta1,M11_SVD_Ent_delta2,M11_SVD_Ent_rel_change,M12_KL_Noise_delta1,M12_KL_Noise_delta2,M12_KL_Noise_rel_change,M13_LogitLens_delta1,M13_LogitLens_delta2,M13_LogitLens_rel_change,M14_Spectral_Norm_delta1,M14_Spectral_Norm_delta2,M14_Spectral_Norm_rel_change,M15_Frobenius_Norm_delta1,M15_Frobenius_Norm_delta2,M15_Frobenius_Norm_rel_change,M16_Effective_Rank_delta1,M16_Effective_Rank_delta2,M16_Effective_Rank_rel_change,M1_MSE_start_delta1,M2_Cosine_start_delta1,M3_Residual_start_delta1,M4_CKA_start_delta1,M5_L1_start_delta1,M6_L_Inf_start_delta1,M7_Var_Ratio_start_delta1,M8_Pearson_start_delta1
phi-tiny,csqa,14,0.45161290322580644,0.20117474302496324,0.0137864999049003,10.639671184311725,11.122571375797657,3.358322915373374,0.036141707211806,0.8253177753683976,0.7710634123634648,0.34487243133378165,0.2613608489922087,0.9931852411384176,2.629872635287598,1.2877799559340346,0.9999534080108592,0.1309388675189208,0.5767267034202204,0.800036368574887,0.0846584500786127,0.3003262153275183,0.8789500743028671,0.37428332620146276,4.840546379120598,581.380615234375,572.6285479371417,206.78240766425685,1.0113539878312532,2.928336747212237e-05,0.10967260908967,0.7929469588311263,0.9638607440963326,0.1746881019436952,0.2290032633277454,0.6551301448327931,0.971762716770172,0.039207468740642,0.0,3.434570715035478,23.17177584073315,442.2052718776546,-0.0037949681282043457,-0.003972887992858665,-0.0038900499549646694,-0.023942286148667405,-0.04360244888812311,-0.3791350606290411,0.0,0.0,0.0,-0.02243168141743901,-0.0019537528900248624,-0.0064887665222491675,-0.0571465132987683,-0.18968348633753607,-0.0024601448327131736,-2.4675499249811423,-3.566782631286287,-0.00554913591295747,0.020638133540296977,-0.0006729833031169363,0.0008933953727295885,3.049145532771358e-05,0.014220357539222295,0.0,-6.446292636677327e-08,0.0006699467003102033
phi-tiny,csqa,15,0.4838709677419355,0.026431718061673968,0.0114303886116978,10.762961340380144,11.220577217339493,3.3784189472802035,0.02904280231782,0.8324303304826891,0.7572847534944346,0.34102457456129015,0.2346902786342947,0.9940007345584648,2.445752118475412,1.2060628487407419,0.999996649301218,0.1309191382014903,0.5778630503272542,0.8002567834408572,0.0802896292079285,0.3143859959644533,0.8757597713271289,0.3754983140587773,4.234896473177723,583.380615234375,575.1285479371417,207.5468863817046,1.0016582748325606,2.8958945998418905e-05,0.1084639528563381,0.7840824196782838,0.9709573497448076,0.1675848319858044,0.2427356305252226,0.6589851966411879,0.974430501461029,0.0527028273791074,0.0,3.552879182443226,23.12999103167285,442.4782269294948,0.0026677846908570446,0.00646275281906139,0.002745304635398904,0.013495358638465398,0.0374376447871328,0.3442037721878297,0.0,0.0,0.0,0.11830846740774836,0.14074014882518737,0.034446362361919336,-0.041784809060299466,0.015361704238468832,-0.001803263131298194,0.2729550518401993,2.7405049768213416,0.0006172587013293374,0.12329015606841942,0.007112555114291541,0.0008154934200472752,-1.972931743052242e-05,0.014059780636935026,2.0,-3.2442147370346434e-07,-0.00710326995789079
phi-tiny,csqa,16,0.5161290322580645,0.042584434654919116,0.2106817366035135,10.779472098010764,11.213574485247689,3.3712247062356404,0.0531952069686339,0.8377264713125576,0.7462344810330018,0.3424723273817065,0.4668450753870409,0.9945768369796528,2.289651566504651,1.1469912243748417,0.9914801794422348,0.1310175360561051,0.5781840662015061,0.8002995979537098,0.1625201194917052,0.3317653801136579,0.8731723202729597,0.37994394894082173,28.539809518325143,583.380615234375,575.1285479371417,207.53895900183093,1.1051751726675385,2.890796637495365e-05,0.1082720694869732,0.782768491990322,0.9468041148759808,0.162291622425473,0.2537731852422085,0.6575408857182297,0.9717265963554382,0.0476649738848209,0.0,3.749749968636711,23.97964863507253,467.088697397484,-0.0027039051055908203,-0.005371689796447865,-0.002774856802549408,-0.0050378534942864955,-0.018533212132751893,-0.0955898145283115,0.0,0.0,0.0,0.19687078619348464,0.07856231878573627,0.055411618601142854,0.8496576033996774,0.8914424124599769,0.03673402217217481,24.610470467989217,24.337515416149017,0.05561961915904767,0.01651075763061982,0.005296140829868512,0.0005761024211879961,9.839785461482342e-05,0.01737938414920459,0.0,-5.0979623465254346e-08,-0.005293209560331413
phi-tiny,csqa,17,0.5483870967741935,0.05873715124816447,0.0207735602053631,11.936016438536525,12.242790931761022,3.6934728387170788,0.0308577830824668,0.847768981824343,0.7412946344910831,0.33959540294027174,0.2311472926566485,0.9956752689132722,1.9791994184670536,0.9813839595266797,0.9999529301485598,0.1337573137042783,0.6063427446954667,0.8009137320237809,0.100832051735594,0.3956580941643898,0.8877570351843557,0.39608285403932475,7.981586878071253,586.380615234375,578.6285479371417,212.93098600705466,1.0132633544303276,2.619429785639029e-05,0.0981602109358459,0.708664297408349,0.9691426866275183,0.1522473120584437,0.258722052698151,0.6604179581720687,0.9732310175895692,0.033364605391398,0.0,3.7637249118876905,24.32629023857837,467.3995326240108,0.0015044212341309704,0.004208326339721791,0.0015481939465005201,-0.0143003684934229,-0.009262514999136405,-0.3000183851559165,0.0,0.0,0.0,0.013974943250979699,-0.18289584294250494,0.0037269000247663886,0.34664160350584083,-0.5030159998938366,0.014455658161681484,0.3108352265268195,-24.299635241462397,0.0006654736632651925,1.1565443405257607,0.010042510511785396,0.0010984319336193593,0.0027397776481731806,0.06389271405073188,3.0,-2.713668518563362e-06,-0.010044310367029297
phi-tiny,csqa,18,0.5806451612903226,0.027900146842877997,0.0425953679457978,12.096593058177628,12.374990100844974,3.7398112564330335,0.0452350703640905,0.8552012834194544,0.7306478241737703,0.3419423875426393,0.3352238770443138,0.9961597799864292,1.883233334567096,0.9484710588080261,0.999999168366316,0.1338387914901991,0.6075242145885511,0.8005310669050515,0.1312775259973278,0.4144582556565212,0.8852197621612643,0.40133996500254565,9.690828040620522,589.380615234375,582.1285479371417,213.96796763343562,1.0087888295488412,2.585450788944677e-05,0.0968931220886797,0.6994234198054832,0.9547685380845066,0.1448078374885614,0.2693925386296248,0.6580670453693083,0.9725582599639891,0.0342654946725815,0.0,3.89274686012628,24.355798433411795,467.65954113906287,-0.000672757625580056,-0.0021771788597110264,-0.0006912620060612884,0.0009008892811834951,0.015201257774606396,0.027001346804951698,0.0,0.0,0.0,0.12902194823858926,0.11504700498760956,0.03428038745102624,0.029508194833425705,-0.31713340867241513,0.0012130166393653496,0.2600085150520499,-0.05082671147476958,0.000556287494752894,0.1605766196411036,0.007432301595111435,0.00048451107315705677,8.147778592079713e-05,0.01880016149213143,3.0,-3.397899669435184e-07,-0.007439474569882282
phi-tiny,csqa,19,0.6129032258064516,0.04405286343612335,0.031852271865495,12.194332839034796,12.383619436174998,3.7387434310755743,0.0291746528201372,0.868467986058935,0.7050479502340109,0.3407711136600278,0.2408451988841548,0.997132885368216,1.6144658586805127,0.8434413785372695,0.999976332855459,0.1340074575217067,0.6077608831782111,0.8006570263866298,0.1374756615123819,0.4483828231460437,0.8758441917628758,0.41014906168758203,3.4971111025798525,589.380615234375,582.1285479371417,212.08494547875958,1.0179312545485812,2.5614665623391097e-05,0.0959886821745044,0.6932356221574079,0.9708247697812236,0.1315278058885356,0.2950596719077139,0.6592320840230652,0.9747391939163208,0.0334764649160206,0.0,3.851574868526099,24.6501008339648,468.4445933126054,0.002180933952331654,0.00285369157791171,0.0022424712658473123,-0.0007890297565609009,-0.001689919037744396,-0.023026947782320062,0.0,0.0,0.0,-0.041171991600180924,-0.17019393983877018,-0.01057659104985964,0.29430240055300416,0.26479420571957846,0.012083463465901945,0.7850521735425104,0.5250436584904605,0.0016786831112873823,0.09773978085716806,0.013266702639480599,0.000973105381786743,0.00016866603150761383,0.033924567489522495,0.0,-2.398422660556734e-07,-0.013280031600025805
phi-tiny,csqa,20,0.6451612903225806,0.017621145374449174,0.0412426376829715,12.413272380438327,12.532722316932524,3.812400721037764,0.0276825528570514,0.8731175213014855,0.6828814016122685,0.34422622713829365,0.2533840673146533,0.9974669710619346,1.493866543414454,0.8068633459498503,0.9999992806925138,0.1343188255897171,0.6092465692714626,0.8002367220257341,0.1393700273895146,0.4889279460438346,0.871373221729741,0.42626983480280867,9.909707959024365,591.380615234375,584.6285479371417,213.72319981077476,1.010864699697221,2.51631100007717e-05,0.0942995410449162,0.6810386059376481,0.9723172676455868,0.1268806783795161,0.3172165707766668,0.655778490256535,0.9740991592407228,0.0236829632194712,0.0,3.858333585397253,24.554618196667366,469.9636040813518,-0.0006400346755980335,-0.0028209686279296875,-0.0006566214630464584,-0.009793501696549398,-0.009004471939988497,-0.29254886144990144,0.0,0.0,0.0,0.006758716871154036,0.04793070847133496,0.001754793065658511,-0.09548263729743312,-0.3897850378504373,-0.003873519136516901,1.5190107687463978,0.7339585952038874,0.0032426690166380556,0.21893954140353067,0.004649535242550407,0.00033408569371862207,0.00031136806801040917,0.040545122897790886,2.0,-4.515556226193956e-07,-0.004647127509019494
phi-tiny,csqa,21,0.6774193548387096,0.014684287812041117,0.0432583543912101,12.538984155772066,12.582908515555268,3.852426374418738,0.0236107771949236,0.8799608487095821,0.6719942853208647,0.34983947012652805,0.2094916889747569,0.9978961031716148,1.362731943259368,0.7656068544233039,0.9999283113799848,0.1345492968218283,0.6096236243001952,0.8003829354136894,0.1506698088847058,0.5219287104922957,0.867746308726624,0.4406821774406531,8.075543227886978,591.380615234375,584.6285479371417,214.5048120150695,1.0098809219597793,2.4877527312463414e-05,0.0932257797578189,0.673629941362214,0.9763888251966966,0.1200322818184953,0.328129937666347,0.6501641577970844,0.9804581999778748,0.038046081084758,0.0,3.897622567302776,25.0759712255226,470.8189039500255,0.006359040737151989,0.006999075412750022,0.00652812465427921,0.014363117865286802,0.0241566195618362,0.6064746937358756,0.0,0.0,0.0,0.0392889819055231,0.032530265034369066,0.010182888813507818,0.5213530288552342,0.6168356661526673,0.021232381814268786,0.8552998686737396,-0.6637109000726582,0.001819927886427708,0.12571177533373934,0.006843327408096678,0.0004291321096802081,0.00023047123211120124,0.03300076444846112,0.0,-2.855826883082871e-07,-0.006848396561020806
phi-tiny,csqa,22,0.7096774193548387,0.019089574155653412,0.0590766782214122,12.65729758389947,12.647958728156064,3.9073004873575683,0.0363433287340924,0.883201997986492,0.6581363912540611,0.353881816240714,0.2668828329011907,0.9980140502681312,1.3182647922408084,0.7564528299725166,0.9999989219906876,0.1355717248686823,0.6130601091525478,0.8002925854991643,0.1908049843747727,0.5533971995432586,0.8672211408419848,0.4590448072370078,3.6520734157452903,591.380615234375,588.1285479371417,216.89167540528365,1.0086211212144145,2.462394113193349e-05,0.0922809198764164,0.6669945255406122,0.963655141364542,0.1167862293212068,0.342015338983817,0.6461209865366273,0.9740412831306458,0.0225959182716906,0.0,3.829138470145892,24.803373903598427,470.3353464378501,-0.006416916847229004,-0.012775957584380992,-0.006544814299450863,-0.015450162813067402,-0.029813280678354204,-0.4060907818244922,0.0,0.0,0.0,-0.06848409715688408,-0.10777307906240718,-0.017570735999785758,-0.27259732192417374,-0.7939503507794079,-0.010870857980835535,-0.4835575121754232,-1.3388573808491628,-0.0010270562802778826,0.11831342812740431,0.0032411492769098826,0.0001179470965163576,0.0010224280468539848,0.03146848905096289,0.0,-2.5358618052992313e-07,-0.0032460524972885013
phi-tiny,csqa,23,0.7419354838709677,0.05139500734214391,0.0919052425781104,12.75924320049114,12.65392609134646,3.951701202235996,0.0338188068091527,0.8868085634356927,0.6331026570705192,0.3626571134469616,0.3056703359986992,0.9982369690035132,1.2296798062265943,0.7427099851455102,0.9999984948484748,0.1358514625280119,0.6136126696428835,0.8004377585609777,0.1951825199656365,0.6140026890967929,0.866338089486793,0.49313889989891774,14.114448966011466,591.380615234375,588.1285479371417,217.38959000932692,1.0269080206178232,2.4401906081637643e-05,0.0914459156481141,0.661232776013754,0.9661801891381578,0.1131749414609261,0.3670805729040838,0.637345464580542,0.9788742065429688,0.0292273559607565,0.0,3.918933506281871,25.24695237177723,470.6610311472191,0.004832923412322998,0.011249840259552002,0.004961723384854455,0.0066314376890658985,0.0220816005021333,0.2934794509933294,0.0,0.0,0.0,0.08979503613597917,0.15827913329286325,0.02345045415204261,0.44357846817880286,0.7161757901029766,0.017883795563572447,0.32568470936899985,0.809242221544423,0.0006924521234383807,0.10194561659166901,0.0036065654492006827,0.00022291873538204943,0.00027973765932959305,0.060605489553534286,0.0,-2.2203505029584874e-07,-0.0036112878602806986
phi-tiny,csqa,24,0.7741935483870968,0.011747430249632852,0.0888732594974113,13.082598633496708,12.8393404227998,4.117045588194134,0.0304913935751137,0.8942624363105479,0.6249936903772737,0.37104475891685157,0.2552901629440907,0.9986280734474594,1.1142975630865637,0.717394672170202,0.9999982971426504,0.1361856850124987,0.6140808385478776,0.8006300273066101,0.2275036257568878,0.6702658151330565,0.8690775400981076,0.5289195454366701,6.430557688370189,591.380615234375,588.6285479371417,222.33239404321398,1.0155843276649494,2.373204514072184e-05,0.08893099504719,0.6437762969309835,0.9695056422043784,0.1057129047817133,0.3752351197719965,0.6289597246841658,0.975419819355011,0.0184987499378621,0.0,3.8098730703569808,25.305799898111594,472.3952667038396,-0.0034543871879577637,-0.008287310600280762,-0.0035289388206043437,-0.0107286060228944,-0.0173600437119603,-0.36707412183639443,0.0,0.0,0.0,-0.10906043592489034,-0.1988554720608695,-0.027829111096187686,0.05884752633436463,-0.38473094184443823,0.002330876434818663,1.7342355566204901,1.4085508472514903,0.003684680570204213,0.32335543300556857,0.007453872874855216,0.0003911044439461886,0.0003342224844868069,0.0562631260362636,0.0,-6.698609409158013e-07,-0.007462036679212802
