,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_20,12.413272380438327,12.402798936954783,12.398266152218655,5.188542690851179,5.179636781182473,4.526846291733803,4.522874115677177,4.515685118875183,4.4294669035514005,4.329610322656249,0.6104885693654772,0.579566811509644,0.5309017349910189,0.48610325183270897,0.45031033603994697,0.4077816187944889,0.3871831643493521,0.10746285961262034,0.08052548842411565,0.031852271865495003,0.0,0.04124263768297155,0.0879371131081546,0.15702875034180358,0.30355867911908196,0.4439436988348262,0.5665121095332818,3.4709330952431117,9.234531843105756,9.241757370232559,12.337479658150263,12.532722316932523
Layer_21,12.538984155772066,12.528439738533713,12.52374234500232,5.3152797124504945,5.305731450603401,4.658668476182061,4.65359328380869,4.646293228908604,4.559973163305981,4.456445233339564,0.741665751010448,0.7067603143290552,0.6534232286817221,0.6019702815160118,0.5563891978414209,0.5113093078526975,0.48595164224419996,0.18426748417031072,0.15357090884256713,0.07711030027839026,0.04124263768297155,0.0,0.043258354391210105,0.10832406939857812,0.2120601548389955,0.33421544770936706,0.4524523436193287,3.3239153946744526,9.082168649396966,9.079585307743782,12.157943901714978,12.582908515555268
Layer_22,12.65729758389947,12.646695232703781,12.641940353152988,5.455901690236279,5.446484447111369,4.783285903891611,4.777511015229299,4.7696416869112745,4.679372001241017,4.574604086071424,0.8522413410093821,0.8167105113552009,0.7622865782127725,0.7079647758961896,0.6618298660478662,0.6147315863162938,0.5871566002433365,0.25057081216725047,0.21166910704631087,0.13103785135163137,0.0879371131081546,0.043258354391210105,0.0,0.059076678221412215,0.15475329030594995,0.27368003508285066,0.3856932121061283,3.2354521868562816,9.013351426370606,9.005783670364492,12.097737870384298,12.647958728156063
Layer_23,12.75924320049114,12.748748839829029,12.743870808197572,5.556527435828388,5.546731404941849,4.88632290066509,4.879446419607314,4.871408485468053,4.780345062365988,4.674097745268194,0.9552417143166407,0.9185962659428102,0.8628195649673468,0.8070959285768108,0.7592673740066729,0.7110604236206005,0.6792977016348999,0.33743428005047454,0.2927020473571999,0.20561105953826952,0.15702875034180358,0.10832406939857812,0.059076678221412215,0.0,0.09190524257811047,0.2028503597124398,0.3066067094689603,3.1397323573250735,8.897268662386308,8.884641595788905,11.977209292309485,12.65392609134646
Layer_24,13.082598633496708,13.071961677435672,13.066850345902127,5.876140237440349,5.865101334699151,5.207611978005231,5.1993052559148865,5.190802448309415,5.09758819955768,4.984634366804806,1.2636352438696283,1.2196820598464828,1.1539296400927794,1.0856461888644462,1.0214061629176627,0.9680108114112898,0.9297751875122876,0.5491003595493935,0.4999314589787467,0.3623287806395719,0.30355867911908196,0.2120601548389955,0.15475329030594995,0.09190524257811047,0.0,0.08887325949741132,0.18638385035384394,2.9717304235984807,8.72933801093324,8.698799830396872,11.772675286542189,12.8393404227998
Layer_25,13.272937500115598,13.262384952042163,13.25713942228625,6.068091498350726,6.05625977602091,5.407463055766088,5.398095898702436,5.389540020898168,5.297242369249549,5.181909623349132,1.4730224417038964,1.4255764420944388,1.3557514565387385,1.2821507657970395,1.210102067190931,1.1549691017488297,1.1129480049709723,0.7199200829651198,0.6691649695286294,0.5086861898379673,0.4439436988348262,0.33421544770936706,0.27368003508285066,0.2028503597124398,0.08887325949741132,0.0,0.09398810450753455,2.8431687684063047,8.577384670282562,8.53303811669252,11.589062571232676,12.904176221139894
Layer_26,13.354532172306945,13.34404132016656,13.338695544477957,6.193084116747494,6.181090609154479,5.5421013844784515,5.530907633068325,5.522079579465024,5.4293676286716135,5.313537069366761,1.6140496310984669,1.5660851349311222,1.4956748728670124,1.420530224022174,1.3486238843002445,1.2924911104978645,1.2487525931154482,0.8567934459979958,0.8050432255969099,0.6377520204371453,0.5665121095332818,0.4524523436193287,0.3856932121061283,0.3066067094689603,0.18638385035384394,0.09398810450753455,0.0,2.717348535074551,8.409689684562464,8.355323449399606,11.388346939180641,12.833066028029483
Layer_27,6.867050482736661,6.861694026051927,6.857805309092579,7.296120737342928,7.3110131080964855,7.424244842013797,7.360046885035059,7.3501631137682315,7.269198732430773,7.158056834405998,4.373422941938958,4.321030647612126,4.246818312458285,4.198644536914247,4.117308750785247,4.093951210050091,4.046426782248744,3.7348921142768705,3.7231664331500203,3.513053559358739,3.4709330952431117,3.3239153946744526,3.2354521868562816,3.1397323573250735,2.9717304235984807,2.8431687684063047,2.717348535074551,0.0,2.6232244122428643,2.745652808604135,4.582758987272108,6.221187719646582
Layer_28,2.962314583452679,2.9603481216571255,2.9573332220682054,7.012120165656962,7.039978604937654,7.8288626639595,7.7347561510540634,7.719567341066402,7.697230609297069,7.630576591819745,9.2185927491809,9.175521130448574,9.15666151281071,9.154444744116356,9.075240256647708,9.114532597234852,9.062991889356883,9.369191796929986,9.424090933741164,9.204566422102396,9.234531843105756,9.082168649396966,9.013351426370606,8.897268662386308,8.72933801093324,8.577384670282562,8.409689684562464,2.6232244122428643,0.0,0.40152798640640125,1.0964487194038628,2.24047488115734
Layer_29,3.5533608181568366,3.550956123291128,3.547593543023774,7.34380832722107,7.37028879810805,8.23375839605183,8.141066919868837,8.124988437968137,8.118998015541996,8.04556891373393,9.245139089985816,9.200872231076527,9.178625603565713,9.169327995603345,9.087095564061945,9.121861781183567,9.070036337084696,9.39577782261479,9.446722522316948,9.21466657551071,9.241757370232559,9.079585307743782,9.005783670364492,8.884641595788905,8.698799830396872,8.53303811669252,8.355323449399606,2.745652808604135,0.40152798640640125,0.0,0.6775076144743317,2.4476238719563717
Layer_30,3.642087632178479,3.642933450498901,3.6401591414218064,9.072844974727147,9.103885850586137,10.302285465034279,10.192977081255089,10.170630009422334,10.195481631132933,10.12168751497136,12.052687263801193,12.010883389097271,11.998516379566489,11.987178750940272,11.90268832869846,11.950690651018048,11.895089557578972,12.469436101108961,12.538825745859857,12.284089967913554,12.337479658150263,12.157943901714978,12.097737870384298,11.977209292309485,11.772675286542189,11.589062571232676,11.388346939180641,4.582758987272108,1.0964487194038628,0.6775076144743317,0.0,2.111949663002114
Layer_31,1.1028970110914338,1.1038859687214695,1.1029862907458095,6.824783635666681,6.863928559761766,8.210142432813464,8.109004456131894,8.096304146409718,8.166327156657376,8.153216078084185,10.990138413181665,10.992470443688095,11.054656989451415,11.123128923405202,11.122571375797657,11.220577217339493,11.213574485247689,12.242790931761022,12.374990100844974,12.383619436174998,12.532722316932523,12.582908515555268,12.647958728156063,12.65392609134646,12.8393404227998,12.904176221139894,12.833066028029483,6.221187719646582,2.24047488115734,2.4476238719563717,2.111949663002114,0.0
