Model,Task,Layer,Relative_Depth,Accuracy_Drop,PPL_Degradation,PPL_Ratio,PPL_Rank,M1_MSE_next,M1_MSE_start,M1_MSE_end,M1_MSE_mean,M2_Cosine_next,M2_Cosine_start,M2_Cosine_end,M2_Cosine_mean,M3_Residual_next,M3_Residual_start,M3_Residual_end,M3_Residual_mean,M4_CKA_next,M4_CKA_start,M4_CKA_end,M4_CKA_mean,M5_L1_next,M5_L1_start,M5_L1_end,M5_L1_mean,M6_L_Inf_next,M6_L_Inf_start,M6_L_Inf_end,M6_L_Inf_mean,M7_Var_Ratio_next,M7_Var_Ratio_start,M7_Var_Ratio_end,M7_Var_Ratio_mean,M8_Pearson_next,M8_Pearson_start,M8_Pearson_end,M8_Pearson_mean,M11_SVD_Ent,M12_KL_Noise,M13_LogitLens,M14_Spectral_Norm,M15_Frobenius_Norm,M16_Effective_Rank
phi-tiny,csqa,10,0.3225806451612903,0.10572687224669598,38.42829603935252,1.035902241780209,0.4838709677419355,0.0066525366366669,10.407546250376909,10.990138413181665,3.376865583768504,0.0303886881331553,0.8204456838084283,0.8285777053317508,0.39795794585577826,0.2490282383832064,0.989610041291083,3.895677561646695,1.91002483937331,0.9999931984803014,0.1306991663888816,0.573466564181591,0.799897754924344,0.0528984539619632,0.2358477590857325,0.8869789372595679,0.37144656086912226,5.237183317017301,579.880615234375,570.1285479371417,208.33401019909067,1.002136937913887,2.9902069599749865e-05,0.1119834101201324,0.8100221670884928,0.969610235761366,0.1795689947201422,0.1714432873655595,0.6020455370421837,0.9786844849586488,0.0708283856511116,0.0,3.57284140995104,23.45687009210456,443.6472685892288
phi-tiny,csqa,11,0.3548387096774194,0.10132158590308359,11.63548583566103,1.010870636191475,0.5806451612903226,0.014838382762679,10.429149945576986,10.992470443688095,3.3634554389239524,0.030102531701009,0.8138648280103513,0.8140442593482359,0.37938217739906405,0.2616321580098556,0.9899028980468356,3.560434951243295,1.7310821598839627,0.999935717196078,0.1307960920734521,0.574090458544232,0.8000448392172079,0.0644850946389242,0.2498235649793095,0.8855006597161196,0.37042077474250706,11.855024058149056,579.880615234375,570.1285479371417,207.38946693955046,1.008142823473925,2.983715074912669e-05,0.1117395174405083,0.8082893750048089,0.969896362610863,0.1861485763224883,0.1859866770489307,0.6206212894026919,0.9741610288619996,0.0530745508149266,0.0,3.333895261157049,23.245152950286865,444.6001040837536
phi-tiny,csqa,12,0.3870967741935484,0.07342143906020548,-98.08165395070604,0.9083656675608253,0.8709677419354839,0.0095111855071565,10.51949812446238,11.054656989451416,3.3707230375646056,0.0336208553415746,0.8153285356230857,0.7990032864900811,0.3657847391788517,0.2568624040491751,0.9908677401062312,3.2271878568975776,1.5636197733715707,0.9999358946431572,0.1309073728438311,0.5757338922107738,0.8000454320128102,0.0668297092614117,0.2708644447123584,0.8847541752455178,0.37220491702385383,3.993164462402744,579.380615234375,570.1285479371417,207.0226320619958,1.0091493379669438,2.960916828355386e-05,0.1108892486429941,0.8018450344110689,0.9663782674791772,0.1846829500235464,0.2010444117241663,0.6342180577071688,0.9753741025924684,0.0434895921498537,0.0,3.477482341740229,23.09638538099315,443.5736285693025
phi-tiny,csqa,13,0.41935483870967744,0.12481644640234939,-66.16674969915346,0.9381826703146838,0.7741935483870968,0.0087709357659961,10.619033050771428,11.123128923405202,3.375686819089064,0.0299526975840256,0.8259907586715145,0.7758244890765418,0.35392314703703337,0.2558395907124176,0.992291845765688,2.957211290003334,1.4389056449688904,0.9999993515737128,0.1309083760635931,0.5764864591376689,0.8000052087012827,0.0636352227724643,0.286105857788296,0.8798314259249495,0.3722605880592621,4.943501740376741,581.380615234375,572.6285479371417,207.08267150024815,1.0020916152449535,2.9347830398489143e-05,0.1099149738556654,0.7946220333598573,0.97004644876616,0.174018155243385,0.2242283663917622,0.6460802009804777,0.9755526185035706,0.0631497548893094,0.0,3.456994501695241,23.22892235403192,444.6727992410529
phi-tiny,csqa,14,0.45161290322580644,0.20117474302496324,-44.93449394917138,0.9580192401874273,0.6451612903225806,0.0137864999049003,10.639671184311725,11.122571375797657,3.358322915373374,0.036141707211806,0.8253177753683976,0.7710634123634648,0.34487243133378165,0.2613608489922087,0.9931852411384176,2.629872635287598,1.2877799559340346,0.9999534080108592,0.1309388675189208,0.5767267034202204,0.800036368574887,0.0846584500786127,0.3003262153275183,0.8789500743028671,0.37428332620146276,4.840546379120598,581.380615234375,572.6285479371417,206.78240766425685,1.0113539878312532,2.928336747212237e-05,0.10967260908967,0.7929469588311263,0.9638607440963326,0.1746881019436952,0.2290032633277454,0.6551301448327931,0.9717565774917604,0.039207468740642,0.0,3.4345735376828337,23.17177584073315,442.2052509752039
phi-tiny,csqa,15,0.4838709677419355,0.026431718061673968,-52.75906254219467,0.9507090135470144,0.6774193548387096,0.0114303886116978,10.762961340380144,11.220577217339493,3.3784189472802035,0.02904280231782,0.8324303304826891,0.7572847534944346,0.34102457456129015,0.2346902786342947,0.9940007345584648,2.445752118475412,1.2060628487407419,0.999996649301218,0.1309191382014903,0.5778630503272542,0.8002567834408572,0.0802896292079285,0.3143859959644533,0.8757597713271289,0.3754983140587773,4.234896473177723,583.380615234375,575.1285479371417,207.5468863817046,1.0016582748325606,2.8958945998418905e-05,0.1084639528563381,0.7840824196782838,0.9709573497448076,0.1675848319858044,0.2427356305252226,0.6589851966411879,0.9744259119033812,0.0527028273791074,0.0,3.5528750003200686,23.12999103167285,442.4782726470738
phi-tiny,csqa,16,0.5161290322580645,0.042584434654919116,-60.762869913476834,0.9432313302505254,0.7096774193548387,0.2106817366035135,10.779472098010764,11.213574485247689,3.3712247062356404,0.0531952069686339,0.8377264713125576,0.7462344810330018,0.3424723273817065,0.4668450753870409,0.9945768369796528,2.289651566504651,1.1469912243748417,0.9914801794422348,0.1310175360561051,0.5781840662015061,0.8002995979537098,0.1625201194917052,0.3317653801136579,0.8731723202729597,0.37994394894082173,28.539809518325143,583.380615234375,575.1285479371417,207.53895900183093,1.1051751726675385,2.890796637495365e-05,0.1082720694869732,0.782768491990322,0.9468041148759808,0.162291622425473,0.2537731852422085,0.6575408857182297,0.9717212915420532,0.0476649738848209,0.0,3.749753900294034,23.97964863507253,467.0887706144801
phi-tiny,csqa,17,0.5483870967741935,0.05873715124816447,-176.06947070695617,0.8355043195003684,0.9354838709677419,0.0207735602053631,11.936016438536525,12.242790931761022,3.6934728387170788,0.0308577830824668,0.847768981824343,0.7412946344910831,0.33959540294027174,0.2311472926566485,0.9956752689132722,1.9791994184670536,0.9813839595266797,0.9999529301485598,0.1337573137042783,0.6063427446954667,0.8009137320237809,0.100832051735594,0.3956580941643898,0.8877570351843557,0.39608285403932475,7.981586878071253,586.380615234375,578.6285479371417,212.93098600705466,1.0132633544303276,2.619429785639029e-05,0.0981602109358459,0.708664297408349,0.9691426866275183,0.1522473120584437,0.258722052698151,0.6604179581720687,0.973225235939026,0.033364605391398,0.0,3.7637278673783783,24.32629023857837,467.39950148564463
phi-tiny,csqa,18,0.5806451612903226,0.027900146842877997,125.72134374335316,1.1174571486433955,0.3548387096774194,0.0425953679457978,12.096593058177628,12.374990100844974,3.7398112564330335,0.0452350703640905,0.8552012834194544,0.7306478241737703,0.3419423875426393,0.3352238770443138,0.9961597799864292,1.883233334567096,0.9484710588080261,0.999999168366316,0.1338387914901991,0.6075242145885511,0.8005310669050515,0.1312775259973278,0.4144582556565212,0.8852197621612643,0.40133996500254565,9.690828040620522,589.380615234375,582.1285479371417,213.96796763343562,1.0087888295488412,2.585450788944677e-05,0.0968931220886797,0.6994234198054832,0.9547685380845066,0.1448078374885614,0.2693925386296248,0.6580670453693083,0.9725529551506042,0.0342654946725815,0.0,3.892752969040061,24.355798433411795,467.6595284983797
phi-tiny,csqa,19,0.6129032258064516,0.04405286343612335,-62.94459691399277,0.9411930173836026,0.7419354838709677,0.031852271865495,12.194332839034796,12.383619436174998,3.7387434310755743,0.0291746528201372,0.868467986058935,0.7050479502340109,0.3407711136600278,0.2408451988841548,0.997132885368216,1.6144658586805127,0.8434413785372695,0.999976332855459,0.1340074575217067,0.6077608831782111,0.8006570263866298,0.1374756615123819,0.4483828231460437,0.8758441917628758,0.41014906168758203,3.4971111025798525,589.380615234375,582.1285479371417,212.08494547875958,1.0179312545485812,2.5614665623391097e-05,0.0959886821745044,0.6932356221574079,0.9708247697812236,0.1315278058885356,0.2950596719077139,0.6592320840230652,0.9747353196144104,0.0334764649160206,0.0,3.851577603592063,24.6501008339648,468.4445609236663
