,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_13,0.16937277526468844,0.16825516630546858,0.16680350400550165,0.16496393647133376,0.16275609991864823,0.15995816694821224,0.140479228969581,0.1365606799953595,0.13099218518103273,0.12413903301388,0.11520571938969872,0.10154042193432698,0.07838788598068028,0.0,0.09101018713547693,0.1454038536153203,0.19167968391591073,0.2419329057649742,0.29818136676425916,0.3616008910119387,0.42421972156059146,0.4958865901517829,0.6281288780705251,3.902606241630785
Layer_14,0.19713180899668872,0.19601330203808887,0.19457269493524018,0.1927932601522755,0.19061775207763612,0.18789095396784658,0.16888826110390343,0.1653614840626619,0.16079031599778607,0.15535195163290194,0.14804632275881677,0.13710613761106347,0.12078816918419777,0.09101018713547693,0.0,0.10922126248661951,0.16390805793384564,0.21742576775640665,0.27673248015496693,0.34264945676344327,0.4071340848684897,0.480823910622007,0.615583498442788,3.892644862675647
Layer_15,0.23303364295387347,0.23200913425306138,0.2305987228583743,0.2288748209443276,0.2267983106196073,0.2242827425229559,0.20586684088693302,0.2028100002895702,0.19894142152343394,0.19461960702475517,0.1889335741819074,0.18027385149111425,0.16755347344398888,0.1454038536153203,0.10922126248661951,0.0,0.11833460562474214,0.18154788329696966,0.2465079992179691,0.3146692291817442,0.38215211531746884,0.4592260289983023,0.5978871886111204,3.8792198528333532
Layer_16,0.2670033051770403,0.2660541119485679,0.264757729621328,0.2632285898626095,0.26128735935756364,0.25888759952212437,0.24256124678788665,0.23985569102172477,0.2365519014125374,0.23287210658033983,0.228076969730278,0.22112710439553523,0.2102032629902689,0.19167968391591073,0.16390805793384564,0.11833460562474214,0.0,0.1309621823824985,0.20702368350521058,0.281081155809001,0.3524562586876918,0.4344465031817153,0.5788304443539019,3.8662549551152283
Layer_17,0.29949452430864126,0.2984910136505193,0.29710546331167415,0.29570708745429986,0.29392646886499857,0.2917146676149064,0.28410937256934116,0.2820212018235993,0.27917288872279855,0.27597854422507573,0.2718626663735614,0.2660164961943755,0.25705054972281133,0.2419329057649742,0.21742576775640665,0.18154788329696966,0.1309621823824985,0.0,0.14521965910478463,0.23132533013186038,0.30748044268016833,0.3954676923255858,0.5475668159300533,3.8436732143773886
Layer_18,0.3486871270494906,0.3477487784492296,0.34628754883492024,0.34484753613097074,0.3432168911510955,0.3412184914685389,0.33433168054993867,0.3325659050060822,0.33000770430892923,0.3272330454145661,0.323620524736431,0.3187009537444556,0.3110101103880286,0.29818136676425916,0.27673248015496693,0.2465079992179691,0.20702368350521058,0.14521965910478463,0.0,0.1639239063988349,0.2524317169316375,0.3469765562194962,0.5075720564495043,3.8108798055547264
Layer_19,0.40694884024713,0.4060915722210421,0.4047228456471027,0.40340599632477975,0.40181371979690006,0.39996514034310293,0.3935959661329115,0.39205767523061047,0.3896982074027956,0.3871397893024604,0.38380709124529194,0.3796033335942699,0.37286774280811313,0.3616008910119387,0.34264945676344327,0.3146692291817442,0.281081155809001,0.23132533013186038,0.1639239063988349,0.0,0.18135817527136386,0.28712370064198045,0.45466735880947035,3.7696396671876276
Layer_20,0.46581098371407326,0.46508691107806954,0.4638419596266297,0.4626073929787073,0.4611353859073505,0.4594227446336223,0.4533332105936524,0.4520710926139872,0.44994902569284995,0.4474859118559241,0.44443578982724213,0.44021992825954104,0.4342297188187114,0.42421972156059146,0.4071340848684897,0.38215211531746884,0.3524562586876918,0.30748044268016833,0.2524317169316375,0.18135817527136386,0.0,0.20381077898271155,0.3918025967871723,3.7218991470180702
Layer_21,0.5296968983197974,0.529124460046551,0.5279148085550829,0.5267889882871892,0.5255605278202591,0.5240734535636324,0.5211188115124621,0.51999850272156,0.5180974984442377,0.5159659235327093,0.5132595833992001,0.5093739289762933,0.5042175321330993,0.4958865901517829,0.480823910622007,0.4592260289983023,0.4344465031817153,0.3954676923255858,0.3469765562194962,0.28712370064198045,0.20381077898271155,0.0,0.30841939762710646,3.6605580591159605
Layer_22,0.6551556039500881,0.6547814400639327,0.6538176368632148,0.6529369303479143,0.6518409397151019,0.6504939852143584,0.6491254682330008,0.6480865999385044,0.6464652686115174,0.6448453931804566,0.6424727081569075,0.6392544879960194,0.6348977637622905,0.6281288780705251,0.615583498442788,0.5978871886111204,0.5788304443539019,0.5475668159300533,0.5075720564495043,0.45466735880947035,0.3918025967871723,0.30841939762710646,0.0,3.5336828087315415
