,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_10,1.918964925503555,1.9545170426075815,1.992310320423042,1.9940961562249624,1.9862430026353528,1.9474562479764297,0.012965851899672736,0.010824227188450698,0.007803991295848832,0.004839166369972587,0.0,0.006099376052139017,0.013253781039887134,0.025124663926423034,0.04129557940654341,0.06976798512987384,0.11330893690057899,0.4292737460107124,0.5240144930249058,0.6289072761176356,0.7392457983808182,0.9388276644167014,1.3601319826986826,36.24653239332194
Layer_11,1.9288759172011554,1.9649604262141884,2.002833974644554,2.0045073720688316,1.99644766109679,1.9573479566683445,0.018575246820346825,0.016192162024234038,0.01300077587152533,0.009994768344604218,0.006099376052139017,0.0,0.007940599112485418,0.019499124072791123,0.034900532866066154,0.0623770181538139,0.10499215039998952,0.4208181772097323,0.5152071552819448,0.6196395073339258,0.7290424276921321,0.9286671652352585,1.3490083352353708,36.226036715370824
Layer_12,1.9390400912701156,1.9753576260331613,2.013078880251479,2.014536622408274,2.006221008144569,1.9666630904465596,0.02701104190551434,0.024386362997200234,0.02060267141883633,0.01748886062892537,0.013253781039887134,0.007940599112485418,0.0,0.011856998526700982,0.026629856500063734,0.05248883444080579,0.09308502596729022,0.40785242528040616,0.5015236536173622,0.604731015012852,0.7132728052471232,0.9124814894334105,1.3295578082793078,36.186035543655784
Layer_13,2.0170936274001288,2.054047062687948,2.0905781225724653,2.0916352077745004,2.08310156997162,2.0432409465947567,0.04094807218751099,0.03804407754179203,0.033733887346209704,0.029970338317908095,0.025124663926423034,0.019499124072791123,0.011856998526700982,0.0,0.014288037500506683,0.03791065129354584,0.07335275954686649,0.36931154429668483,0.46141806786710565,0.5629374036087939,0.6702461462837082,0.878758997237653,1.2954967235757326,36.223189011057514
Layer_14,2.0352232713957092,2.071775552974579,2.1076457230992047,2.1083768647191565,2.099554265843953,2.0594582336052434,0.05793434753403812,0.0547295315534389,0.05021194956836693,0.046320182044763826,0.04129557940654341,0.034900532866066154,0.026629856500063734,0.014288037500506683,0.0,0.021033741082205917,0.05340045443099117,0.3444694243768119,0.43308045320292166,0.5319042740836678,0.6371635115117347,0.8445151221254241,1.2595087498743742,36.118223757357214
Layer_15,2.0659435460257005,2.101889017465952,2.1369939597291503,2.1372442747314477,2.1280303719979052,2.087427477969389,0.08842130191471614,0.08481515230066361,0.07952356212188923,0.0752705889742556,0.06976798512987384,0.0623770181538139,0.05248883444080579,0.03791065129354584,0.021033741082205917,0.0,0.027451424446814282,0.3120567816188353,0.39558111369170484,0.4876885499063815,0.5892617962186596,0.7937644822591645,1.200218204979424,35.97208325185315
Layer_16,2.176179394284591,2.210395777059519,2.243478995283347,2.242903021590618,2.2333589964084797,2.1923725963322283,0.13496689333669676,0.13110950983981437,0.12490650290817047,0.11987135882728125,0.11330893690057899,0.10499215039998952,0.09308502596729022,0.07335275954686649,0.05340045443099117,0.027451424446814282,0.0,0.27532107105370335,0.3513436777170909,0.4356825344636731,0.5318441057088041,0.7414987138994984,1.1362963573157445,35.92214905834901
Layer_17,2.0704034783623437,2.103069644009452,2.1119189667565035,2.111194366904969,2.1035595325833945,2.07353320100286,0.446315378463239,0.4438978388698056,0.43901762266221545,0.434544791460623,0.4292737460107124,0.4208181772097323,0.40785242528040616,0.36931154429668483,0.3444694243768119,0.3120567816188353,0.27532107105370335,0.0,0.04108361816560021,0.10539898114625203,0.18563356888186824,0.3536065344826107,0.7228064018131571,35.805038605236206
Layer_18,2.138084164610854,2.1701570218162005,2.170958897600791,2.1684310705714496,2.161201469630711,2.1334125334663923,0.5407747524522739,0.5386301762104816,0.5338181436403573,0.5290470383725725,0.5240144930249058,0.5152071552819448,0.5015236536173622,0.46141806786710565,0.43308045320292166,0.39558111369170484,0.3513436777170909,0.04108361816560021,0.0,0.050619784068319275,0.12095051879379029,0.27472791755472803,0.6277134768500082,35.46848053115982
Layer_19,2.2211504887597275,2.2504151316571686,2.247462758072862,2.2440221246200736,2.236826194299234,2.210057846841804,0.6464969893150111,0.6445449122046956,0.6394748852254913,0.6342525941538674,0.6289072761176356,0.6196395073339258,0.604731015012852,0.5629374036087939,0.5319042740836678,0.4876885499063815,0.4356825344636731,0.10539898114625203,0.050619784068319275,0.0,0.060427851004741115,0.1940468423172258,0.5134146335816208,35.00448127265449
Layer_20,2.3047613067572277,2.3312968644424115,2.3268023726395364,2.3227682873228357,2.315471186489477,2.2890630272155312,0.7581661367006325,0.7562766504717303,0.7507932911536227,0.7451201772514081,0.7392457983808182,0.7290424276921321,0.7132728052471232,0.6702461462837082,0.6371635115117347,0.5892617962186596,0.5318441057088041,0.18563356888186824,0.12095051879379029,0.060427851004741115,0.0,0.11471378116774618,0.4012163391521385,34.49511248551852
Layer_21,1.9808691345600686,1.9972905088505912,1.9886538363401272,1.9844110869267844,1.977787388728155,1.9554036008247482,0.9536560130939437,0.9528229657398883,0.9486184680588806,0.9435411342141279,0.9388276644167014,0.9286671652352585,0.9124814894334105,0.878758997237653,0.8445151221254241,0.7937644822591645,0.7414987138994984,0.3536065344826107,0.27472791755472803,0.1940468423172258,0.11471378116774618,0.0,0.20917124611788554,33.31647516917636
Layer_22,2.198594565473552,2.2081006047766683,2.1998443925702893,2.1954165620944424,2.188296893597821,2.1658338658835046,1.3790871642047904,1.3783875271299646,1.3721628667486192,1.3668683765366076,1.3601319826986826,1.3490083352353708,1.3295578082793078,1.2954967235757326,1.2595087498743742,1.200218204979424,1.1362963573157445,0.7228064018131571,0.6277134768500082,0.5134146335816208,0.4012163391521385,0.20917124611788554,0.0,31.667262929468052
Layer_23,34.06804300194193,34.08176079077568,34.119224548339844,34.12296554165527,34.110407273950976,34.08431567255344,36.285843332901436,36.27621319994977,36.2711076447458,36.26173961367596,36.24653239332194,36.226036715370824,36.186035543655784,36.223189011057514,36.118223757357214,35.97208325185315,35.92214905834901,35.805038605236206,35.46848053115982,35.00448127265449,34.49511248551852,33.31647516917636,31.667262929468052,0.0
